REPORT_DATE,REPORT_TIME,NGGG000294_PF,NGGG000294_KVA,NGGG000294_KW
1/01/2015,1:00,0.97441,8065.17699,7858.813
1/01/2015,2:00,0.9745,8035.33275,7830.393
1/01/2015,3:00,0.97581,7984.85016,7791.717
1/01/2015,4:00,0.97577,7909.6006,7717.969
1/01/2015,5:00,0.9746,7946.99191,7745.103
1/01/2015,6:00,0.97425,7876.37084,7673.552
1/01/2015,7:00,0.97362,8030.90905,7819.041
1/01/2015,8:00,0.9735,8572.44612,8345.314
1/01/2015,9:00,0.97258,9179.82862,8928.119
1/01/2015,10:00,0.97124,9686.45239,9407.898
1/01/2015,11:00,0.97119,9881.45836,9596.751
1/01/2015,12:00,0.97062,10060.81638,9765.279
1/01/2015,13:00,0.96578,10308.69066,9955.906
1/01/2015,14:00,0.96384,10628.70618,10244.322
1/01/2015,15:00,0.96435,10776.04729,10391.933
1/01/2015,16:00,0.96379,10877.97096,10484.065
1/01/2015,17:00,0.96454,10791.44802,10408.813
1/01/2015,18:00,0.96529,10021.52172,9673.626
1/01/2015,19:00,0.96455,9376.43958,9044.017
1/01/2015,20:00,0.96901,8593.68738,8327.371
1/01/2015,21:00,0.97173,8076.82277,7848.486
1/01/2015,22:00,0.97301,7859.892,7647.786
1/01/2015,23:00,0.97201,7691.79432,7476.522
1/01/2015,24:00:00,0.97194,7427.78111,7219.353
2/01/2015,1:00,0.97213,7313.63511,7109.781
2/01/2015,2:00,0.97186,7310.80551,7105.081
2/01/2015,3:00,0.97199,7236.28203,7033.582
2/01/2015,4:00,0.97218,7177.8025,6978.112
2/01/2015,5:00,0.97244,7324.667,7122.817
2/01/2015,6:00,0.97157,7413.18607,7202.418
2/01/2015,7:00,0.96901,7668.15446,7430.504
2/01/2015,8:00,0.96765,8439.47976,8166.431
2/01/2015,9:00,0.964,8961.02462,8638.391
2/01/2015,10:00,0.96379,10136.29652,9769.279
2/01/2015,11:00,0.96361,10644.64179,10257.306
2/01/2015,12:00,0.96227,11289.27881,10863.296
2/01/2015,13:00,0.95789,11784.2517,11287.973
2/01/2015,14:00,0.95843,12062.72089,11561.214
2/01/2015,15:00,0.95796,12336.95619,11818.311
2/01/2015,16:00,0.95699,12513.52978,11975.318
2/01/2015,17:00,0.95631,12582.93862,12033.18
2/01/2015,18:00,0.95671,11000.89056,10524.642
2/01/2015,19:00,0.95592,9721.01843,9292.543
2/01/2015,20:00,0.95724,9166.46677,8774.463
2/01/2015,21:00,0.96351,9362.6219,9020.967
2/01/2015,22:00,0.96954,9624.77222,9331.597
2/01/2015,23:00,0.97,9445.17,9161.811
2/01/2015,24:00:00,0.97185,9223.55363,8963.951
3/01/2015,1:00,0.97194,8999.24142,8746.746
3/01/2015,2:00,0.97284,8852.14975,8611.7
3/01/2015,3:00,0.97389,8816.95034,8586.775
3/01/2015,4:00,0.97441,8684.60786,8462.329
3/01/2015,5:00,0.97489,8583.37449,8367.812
3/01/2015,6:00,0.97523,8459.53245,8249.956
3/01/2015,7:00,0.97418,8437.28905,8219.469
3/01/2015,8:00,0.97423,8722.22739,8497.422
3/01/2015,9:00,0.97233,9097.41471,8845.663
3/01/2015,10:00,0.97169,9755.56649,9479.38
3/01/2015,11:00,0.9721,9944.63711,9667.187
3/01/2015,12:00,0.96601,10234.33323,9886.438
3/01/2015,13:00,0.9655,10482.32464,10120.659
3/01/2015,14:00,0.96567,10593.74957,10230.039
3/01/2015,15:00,0.96596,10680.87125,10317.247
3/01/2015,16:00,0.96675,10893.27523,10531.124
3/01/2015,17:00,0.96646,10862.5143,10498.176
3/01/2015,18:00,0.96436,10069.75768,9710.886
3/01/2015,19:00,0.96502,9733.59961,9393.126
3/01/2015,20:00,0.96482,9428.05236,9096.344
3/01/2015,21:00,0.96729,9010.12244,8715.364
3/01/2015,22:00,0.97017,8763.00743,8501.596
3/01/2015,23:00,0.97061,8968.71616,8705.119
3/01/2015,24:00:00,0.97218,8737.08139,8494.024
4/01/2015,1:00,0.97282,8688.00562,8451.846
4/01/2015,2:00,0.97166,8563.99765,8321.291
4/01/2015,3:00,0.97223,8438.17932,8203.822
4/01/2015,4:00,0.97259,8369.91625,8140.455
4/01/2015,5:00,0.97286,8312.93334,8087.29
4/01/2015,6:00,0.97283,8239.65045,8015.803
4/01/2015,7:00,0.97093,8235.1419,7995.707
4/01/2015,8:00,0.96999,8584.12054,8326.535
4/01/2015,9:00,0.96926,9030.82993,8753.183
4/01/2015,10:00,0.96929,9616.0602,9320.709
4/01/2015,11:00,0.96662,9826.54586,9498.574
4/01/2015,12:00,0.96689,9868.17711,9541.441
