Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Blacktown (NSW),2016-01-01 00:00:00 +1000,0,18.17,16.7,
Blacktown (NSW),2016-01-01 01:00:00 +1000,0,18.17,16.7,
Blacktown (NSW),2016-01-01 02:00:00 +1000,0.02,17.61,16.2,
Blacktown (NSW),2016-01-01 03:00:00 +1000,0.08,16.34,15.8,
Blacktown (NSW),2016-01-01 04:00:00 +1000,0.31,16.12,15.4,
Blacktown (NSW),2016-01-01 05:00:00 +1000,0.1,15.93,15.3,0
Blacktown (NSW),2016-01-01 06:00:00 +1000,16.89,16.9,17.5,0.289
Blacktown (NSW),2016-01-01 07:00:00 +1000,87.6,25.95,19.7,1.954
Blacktown (NSW),2016-01-01 08:00:00 +1000,280.68,26.08,21.4,6.582
Blacktown (NSW),2016-01-01 09:00:00 +1000,459.43,28.45,22.5,10.058
Blacktown (NSW),2016-01-01 10:00:00 +1000,665.95,29.97,24.5,13.891
Blacktown (NSW),2016-01-01 11:00:00 +1000,749.87,31.36,25.2,15.103
Blacktown (NSW),2016-01-01 12:00:00 +1000,805,32.98,26.6,15.868
Blacktown (NSW),2016-01-01 13:00:00 +1000,792.91,35.04,28.3,15.514
Blacktown (NSW),2016-01-01 14:00:00 +1000,743.66,31.24,27.9,14.98
Blacktown (NSW),2016-01-01 15:00:00 +1000,631.82,30.9,27.3,13.233
Blacktown (NSW),2016-01-01 16:00:00 +1000,458.93,31.57,26.4,10.108
Blacktown (NSW),2016-01-01 17:00:00 +1000,252.18,30.04,25.1,6.062
Blacktown (NSW),2016-01-01 18:00:00 +1000,73.04,28.35,23.5,1.821
Blacktown (NSW),2016-01-01 19:00:00 +1000,24.31,24.5,21.3,0.468
Blacktown (NSW),2016-01-01 20:00:00 +1000,1.6,21.27,20,0.039
Blacktown (NSW),2016-01-01 21:00:00 +1000,0,20.26,19.6,
Blacktown (NSW),2016-01-01 22:00:00 +1000,0,19.37,18.6,
Blacktown (NSW),2016-01-01 23:00:00 +1000,0,20.13,16.7,
Blacktown (NSW),2016-01-02 00:00:00 +1000,0,17.73,16.8,
